sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AB247408	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Gonçarves Dias	2003	2003	2003	599	02-Jun-2006	14-Jul-2016	Felis catus	16773238	BRct333
AB247409	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1998	1998	1998	599	02-Jun-2006	14-Jul-2016	Felis catus	16773238	BRct5
AB247410	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Anápolis	1999	1999	1999	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg15
AB247411	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1999	1999	1999	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg2
AB247412	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Rio De Janeiro	1985	1985	1985	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg317
AB247413	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Bacabal	-	-	2006	599	02-Jun-2006	14-Jul-2016	Canis familiaris	16773238	BRdg321
AB247414	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Miranda do Norte	2003	2003	2003	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg322
AB247415	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Santa Inês	2003	2003	2003	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg325
AB247416	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Coroatá 	2003	2003	2003	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg331
AB247417	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Capinzal do Norte	-	-	2006	599	02-Jun-2006	14-Jul-2016	Canis familiaris	16773238	BRdg334
AB247418	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Barra do Corda	2003	2003	2003	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg335
AB247419	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	São João Batista	2005	2005	2005	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg666
AB247420	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Moncão	2005	2005	2005	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg669
AB247430	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx239
AB247431	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx240
AB247432	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx241
AB247433	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx242
AB247434	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx245
AB247435	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx246
AB247436	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx247
AB247437	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx248
AB247438	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Homo sapiens	-	BRhm23
AB247439	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Homo sapiens	-	BRhm327
AB247444	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Bos taurus	-	BRbv641
AB247445	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	-	BRdg657
AB247446	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	-	BRdg659
AB247447	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	-	BRdg661
AB247448	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Homo sapiens	-	BRhm328
AB247449	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Canis lupus familiaris	-	BRdg665
AB247451	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Sus	-	BRpg667
AB263292	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	1998	1998	1998	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg1
AB263293	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct4
AB263294	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg7
AB263295	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Piracanjuba	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg8
AB263296	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Piracanjuba	1998	1998	1998	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct9
AB263297	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Poços de Caldas	1987	1987	1987	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg11
AB263298	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São João da Boa Vista	1989	1989	1989	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg13
AB263299	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São João da Boa Vista	1989	1989	1989	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct14
AB263300	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Caldas Novas	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg19
AB263301	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Caldas Novas	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct20
AB263302	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Cocalzinho de Goiás	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct21
AB263303	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goianira	1998	1998	1998	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct22
AB263304	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg24
AB263305	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaberai	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct25
AB263306	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Leopol do Bulhões	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct26
AB263307	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct27
AB263308	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Taquaral de Goiás	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg29
AB263309	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Andradina	1992	1992	1992	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg77
AB263310	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg96
AB263311	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg97
AB263312	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg98
AB263313	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Santa Tereza de Goiás	2001	2001	2001	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg101
AB263314	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Ceres	2001	2001	2001	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg102
AB263315	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct112
AB263316	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaberai	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct116
AB263317	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	1998	1998	1998	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg117
AB263318	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct120
AB263319	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg121
AB263320	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg125
AB263321	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg126
AB263322	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg127
AB263323	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg128
AB263324	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Rio de Janeiro	1985	1985	1985	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg317
AB263326	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Bacabal	-	-	2007	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg321
AB263327	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Miranda do Norte	2003	2003	2003	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg322
AB263328	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Santa Inês	2003	2003	2003	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg325
AB263329	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Coroatá 	2003	2003	2003	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg331
AB263330	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Gonçalves Dias	2003	2003	2003	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct333
AB263331	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Capinzal do Norte	-	-	2007	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg334
AB263332	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Barra do Corda	2003	2003	2003	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg335
AB263334	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Turmalina	2002	2002	2002	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg603
AB263335	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Santa Rita	2004	2004	2004	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg640
AB263336	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	São João Batista	2004	2004	2004	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg642
AB263337	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Santa Rita	2004	2004	2004	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg643
AB263338	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Codó	2004	2004	2004	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg646
AB263339	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Lima Campos	2004	2004	2004	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg652
AB263340	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	São Vicente Ferrer	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg657
AB263341	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Viana	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg659
AB263342	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Pindaré Mirim	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg661
AB263343	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	São João Batista	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg665
AB263344	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	São João Batista	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg666
AB263345	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Monção	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg669
AB276307	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Homo sapiens	-	BRhm16
AB276308	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Canis lupus familiaris	-	BRdg101
AB276309	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Felis catus	-	BRct112
AB276310	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Felis catus	-	BRct116
AB276311	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Homo sapiens	-	BRhm528
AB276312	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Homo sapiens	-	BRhm529
AB276313	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Homo sapiens	-	BRhm530
AB276314	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Homo sapiens	-	BRhm531
AB291084	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	1999	1999	1999	609	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct112
AB291085	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaberai	1999	1999	1999	609	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct116
AB291086	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Gonçarves Dias	2003	2003	2003	609	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct333
AB291087	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Sta Tereza	2001	2001	2001	609	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg101
AB291088	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Rio de Janeiro	1985	1985	1985	609	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg317
AB291089	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Batta do Corda	2003	2003	2003	609	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg335
AB291090	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	609	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg96
AB291091	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	609	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg97
AB291103	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	609	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx1
AB291104	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2001	2001	2001	609	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx3
AB291105	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	609	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx4
AB291106	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	609	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx5
AB291107	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	609	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx6
AB291114	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	1999	1999	1999	894	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct112
AB291115	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaberai	1999	1999	1999	894	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct116
AB291116	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Gonçarves Dias	2003	2003	2003	894	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct333
AB291117	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Sta Tereza	2001	2001	2001	894	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg101
AB291118	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Rio de Janeiro	1985	1985	1985	894	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg317
AB291119	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Barra do Corda	2003	2003	2003	894	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg335
AB291120	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	894	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg96
AB291121	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	894	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg97
AB291133	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	894	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx1
AB291134	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2001	2001	2001	906	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx3
AB291135	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	906	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx4
AB291136	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	891	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx5
