sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
AY340716	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL7498
AY340717	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL2599
AY340718	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL11599
AY340719	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL5998
AY340720	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL20100
AY340721	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL20200
AY340722	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL22200
AY340723	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL22700
AY340724	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL24700
AY340725	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL8050
AY340726	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL19800
AY340727	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL1397
AY340728	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL10197
AY340729	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9299
AY340730	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL799
AY340731	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9254
AY340732	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL27100
AY340733	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL26300
AY340734	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL18800
AY340735	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL197
AY340736	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL19700
AY340737	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL19900
AY340738	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL21300
AY340739	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL12299
AY340740	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL19600
AY340741	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9475
AY340742	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL700
AY340743	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL12099
AY340744	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL8000
AY340745	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Sus scrofa	14602205	BOL8897
AY340746	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9400
AY340747	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL12699
AY340748	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL3500
AY340749	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL7299
AY340750	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9097
AY340751	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL13599
AY340752	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL17500
AY340753	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL24500
AY340754	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9030
AY340755	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL6899
AY340756	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL7699
AY340757	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9300
AY340758	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL10099
AY340759	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL10299
AY340760	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL11799
AY340761	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL8499
AY340762	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9599
AY340763	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL10999
AY340764	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL12199
AY340765	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL26900
AY340766	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL25500
AY340767	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL16900
AY340768	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL16000
AY340769	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL10700
AY340770	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL19500
AY340772	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL6597
AY340773	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9600
AY340774	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL8003
AY340775	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL28400
AY340776	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL2697
AY340777	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL7800
AY340778	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL6498
AY340779	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL8399
AY340780	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL8899
AY340781	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL9566
AY340784	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL7797
AY340785	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Canis familiaris	14602205	BOL27500
AY340786	AL_Cosmopolitan	Cosmopolitan	-	-	-	-	-	2003	320	31-Dec-2003	03-Jun-2005	Homo sapiens	14602205	BOL25400
